stock_symbol,stock_name
083202,國巨統一09購12  
084480,華邦電凱基0B購01
088811,南亞科元大0B購01
06602P,鴻海富邦09售03  
089892,彩晶統一0C購01  
06324P,創意元大08售03  
082681,臺股指麥證07購05
06521P,聯電國泰0B售02  
05130P,亞德客元大06售01
076746,長榮航凱基06購01
6239,力成            
030725,大成鋼元大0B購03
068532,台郡元富07購02  
05400P,臺股指國票06售17
084963,鴻海國票12購02  
078265,臺股指群益06購01
077486,世紀鋼國票08購01
083210,微星統一09購03  
086909,長榮航凱基0A購01
088414,國巨群益09購03  
086882,聯茂富邦09購01  
030771,群創康和0A購02  
05331P,立積國票07售02  
068221,聯發科統一05購01
085374,華新科群益08購03
080421,國喬富邦06購01  
089319,群創國票0B購02  
1460,宏遠            
1783,和康生          
06720P,長榮元大09售07  
087435,台積電元富0C購11
079651,大立光凱基06購10
078469,華邦電統一07購01
1414,東和            
078302,國巨兆豐06購07  
077424,嘉澤國泰07購01  
081405,台玻群益07購01  
089888,東鋼統一0C購01  
1721,三晃            
084734,台積電元大0B購01
080781,大成鋼日盛06購01
081806,燁輝凱基07購01  
06553P,台灣50群益0A售05
030475,聯成永豐0A購01  
087916,晶豪科群益0A購03
083810,華邦電台新07購01
1701,中化            
3714,富采            
088284,聯詠群益0B購01  
080030,玉晶光國泰08購05
082359,聯發科中信0A購03
088518,中興電國泰0B購01
084358,大立光元大07購13
086347,長榮航元大0B購01
083056,百和兆豐08購01  
083072,台積電麥證0C購01
030888,群創第一14購01  
1789,神隆            
1417,嘉裕            
086108,華邦電兆豐09購01
082005,聯發科中信07購04
05701P,金像電元富07售01
083338,宏碁統一09購01  
080686,長榮富邦07購01  
2723,美食-KY         
3052,夆典            
089366,聯詠元大09購14  
081251,長榮國票08購03  
081036,永豐餘富邦09購01
089649,臺股指凱基0B購05
9910,豐泰            
089937,全漢永豐0A購01  
6491,晶碩            
088816,全漢元大09購01  
081586,永豐餘元大07購02
084206,聯發科元大07購34
089242,群創永豐09購08  
05764P,長榮凱基08售10  
030668,彩晶永豐0A購01  
081522,創意富邦08購01  
05558P,台表科凱基06售05
085997,富邦金元大0A購01
6449,鈺邦            
1708,東鹼            
084430,京元電群益08購01
030478,正隆永豐0A購01  
05641P,臺股指凱基07售04
077699,聯電元大06購07  
079432,長榮航統一08購01
079510,滬深2X元大06購07
084242,京元電統一09購04
5519,隆大            
085306,旺宏元大0C購01  
030335,泰豐群益0B購01  
080843,長榮元富06購06  
075375,玉晶光兆豐06購01
085666,聯詠統一09購06  
2399,映泰            
088734,仁寶永豐09購01  
06171P,群創元大08售04  
